id,name,default_index,series,created_at,updated_at
1,BI: Bladder/Urethral Instillation (ABX/MB12/Ozone),,"[6, 3, 12]",2025-09-01 06:59:29.63608+00,2025-09-01 06:59:29.636137+00
2,BI: Bladder/Urethral Instillation (Methylene Blue/PRP),,"[6, 3, 12]",2025-09-01 06:59:29.916443+00,2025-09-01 06:59:29.916494+00
3,EXO: EV-PURE (4.5ml),,"[6, 3, 12]",2025-09-01 06:59:30.182125+00,2025-09-01 06:59:30.182145+00
4,IV Ozone Therapy,,"[6, 3, 12]",2025-09-01 06:59:30.459804+00,2025-09-01 06:59:30.459839+00
5,IV Therapy: Chelation,,"[6, 3, 12]",2025-09-01 06:59:30.726207+00,2025-09-01 06:59:30.726242+00
6,IV Therapy: EBOO,,"[6, 3, 12]",2025-09-01 06:59:31.163769+00,2025-09-01 06:59:31.163806+00
7,IV Therapy: Glutathione PUSH (1000mg),,"[6, 3, 12]",2025-09-01 06:59:31.436872+00,2025-09-01 06:59:31.436911+00
8,IV Therapy: Specialized Chelation,,"[6, 3, 12]",2025-09-01 06:59:31.704262+00,2025-09-01 06:59:31.7043+00
9,IV Therapy: TRIFECTA ,,"[6, 3, 12]",2025-09-01 06:59:31.977116+00,2025-09-01 06:59:31.977156+00
10,LAB: Men's Health Panel,,[2],2025-09-01 06:59:32.283531+00,2025-09-01 06:59:32.283555+00
11,LAB: Hormone Panel,,[2],2025-09-01 06:59:32.545112+00,2025-09-01 06:59:32.545158+00
12,LAB: Total Tox Burden,,[2],2025-09-01 06:59:32.820314+00,2025-09-01 06:59:32.82036+00
13,LAB: GI Map,,[2],2025-09-01 06:59:33.090331+00,2025-09-01 06:59:33.090368+00
14,LAB: ProstaGen Profile Screening EPS,,[2],2025-09-01 06:59:33.353852+00,2025-09-01 06:59:33.353868+00
15,LAB: Tickborne 2.0,,[2],2025-09-01 06:59:33.614395+00,2025-09-01 06:59:33.614411+00
16,LAB: RGCC Immune Frame  (blood),,[2],2025-09-01 06:59:33.875289+00,2025-09-01 06:59:33.875307+00
17,LAB: RGCC OncoTrace (blood),,[3],2025-09-01 06:59:34.144817+00,2025-09-01 06:59:34.144871+00
18,LAB: RGCC OncoTrail,,[3],2025-09-01 06:59:34.415799+00,2025-09-01 06:59:34.415855+00
19,Modified Shockwave Therapy,,"[6, 3, 12]",2025-09-01 06:59:34.691746+00,2025-09-01 06:59:34.691805+00
20,Shockwave Therapy,,"[6, 3, 12]",2025-09-01 06:59:34.962897+00,2025-09-01 06:59:34.962937+00
21,Prostate Injection: ABX | Nutrients | Ozone,,"[6, 3, 12]",2025-09-01 06:59:35.236058+00,2025-09-01 06:59:35.236103+00
22,PRP Male Pelvis (P-Shot ),,[2],2025-09-01 06:59:35.573192+00,2025-09-01 06:59:35.573417+00
23,RGCC Clavic-Q-Re,,[3],2025-09-01 06:59:35.870046+00,2025-09-01 06:59:35.870074+00
24,RGCC Dendritic Cell Therapy,,[3],2025-09-01 06:59:36.131522+00,2025-09-01 06:59:36.131564+00
25,RGCC IPSCS Therapy,,[2],2025-09-01 06:59:36.404815+00,2025-09-01 06:59:36.404883+00
26,RGCC Q-REstrain Therapy,,[3],2025-09-01 06:59:36.675122+00,2025-09-01 06:59:36.675141+00
27,RGCC Fee:  Program Therapy Administration,,[3],2025-09-01 06:59:36.936093+00,2025-09-01 06:59:36.936113+00
